Sensor Noise Accelerometer,Sensor Noise Gyroscope,Sensor Noise Magnetometer,Sensor Noise Pressure,Rotor Orientation,Gravity_x,Gravity_y,Gravity_z,Magnetic Field_x,Magnetic Field_y,Magnetic Field_z,Wind_x,Wind_y,Wind_z,Wind Deviation_x,Wind Deviation_y,Wind Deviation_z,Number of Iterations,Battery Consumption,Number of Ground Contacts,Number of Engine Failures,Number of Mission Failures
0.029,0.03,0.005,0.119,+,0.0,0.0,9.80665,0.547,0.025,0.051,6.0,19.7,19.5,1.2,5.6,1.4,836,0.38855760000000006,55,0,0
0.051,0.084,0.004,0.861,+,0.0,0.0,9.80665,0.22,0.645,0.315,9.7,9.4,17.0,6.7,4.0,5.0,826,0.18876764000000013,1,0,0
0.023,0.071,0.009,0.681,+,0.0,0.0,9.80665,0.251,0.378,0.163,12.5,4.2,3.7,0.3,5.5,7.0,805,0.18214790000000014,1,0,0
0.092,0.006,0.004,0.259,+,0.0,0.0,9.80665,0.159,0.241,0.282,13.4,8.7,15.8,5.4,3.2,7.9,848,0.21479950000000014,2,0,0
0.061,0.075,0.009,0.051,x,0.0,0.0,9.80665,0.426,0.55,0.393,4.6,4.9,13.0,9.6,5.9,9.4,791,0.18173346000000012,1,0,0
0.076,0.074,0.007,0.64,x,0.0,0.0,9.80665,0.09,0.548,0.088,18.8,14.1,12.2,0.9,9.1,5.1,783,0.39546910000000013,59,0,0
0.055,0.024,0.001,0.139,+,0.0,0.0,9.80665,0.338,0.09,0.443,1.7,16.7,17.8,5.9,1.8,7.4,839,0.19343200000000005,1,0,0
0.061,0.006,0.005,0.29,x,0.0,0.0,9.80665,0.163,0.314,0.187,8.7,7.6,11.7,7.0,3.8,7.5,810,0.18481900000000007,1,0,0
0.013,0.064,0.006,0.321,+,0.0,0.0,9.80665,0.563,0.498,0.423,17.3,9.3,7.3,7.2,2.8,6.8,799,0.3442599000000002,43,0,0
0.063,0.047,0.008,0.635,x,0.0,0.0,9.80665,0.163,0.204,0.617,17.3,5.0,15.8,3.6,3.8,2.3,790,0.30315000000000014,31,0,0
0.069,0.024,0.004,0.597,+,0.0,0.0,9.80665,0.078,0.106,0.182,13.2,19.1,10.6,1.7,7.8,9.8,813,0.40005025000000016,61,0,0
0.012,0.025,0.003,0.18,x,0.0,0.0,9.80665,0.311,0.277,0.198,19.4,2.7,15.7,5.7,0.0,2.8,808,0.3850498000000002,54,0,0
0.049,0.083,0.003,0.371,x,0.0,0.0,9.80665,0.421,0.01,0.213,12.3,15.3,18.1,2.6,7.6,4.7,785,0.35070500000000004,47,0,0
0.065,0.055,0.009,0.446,x,0.0,0.0,9.80665,0.271,0.529,0.559,5.9,8.2,3.6,7.9,9.6,3.9,804,0.18224150000000017,1,0,0
0.088,0.088,0.006,0.422,x,0.0,0.0,9.80665,0.014,0.436,0.016,18.9,1.8,6.8,8.1,5.2,3.9,787,0.22340855000000015,10,0,0
0.072,0.015,0.008,0.507,+,0.0,0.0,9.80665,0.209,0.091,0.037,1.0,10.8,6.6,5.9,9.9,4.4,845,0.19037333000000012,1,0,0
0.017,0.089,0.006,0.804,+,0.0,0.0,9.80665,0.186,0.39,0.34,0.8,14.1,0.2,1.5,8.9,8.6,842,0.1898691400000001,1,0,0
0.045,0.065,0.005,0.473,+,0.0,0.0,9.80665,0.283,0.174,0.628,11.3,12.5,16.8,7.9,1.6,5.8,816,0.18864760000000014,1,0,0
0.099,0.079,0.003,0.573,+,0.0,0.0,9.80665,0.302,0.342,0.437,4.6,10.2,8.9,5.8,8.1,9.2,785,0.17890709999999999,1,0,0
0.082,0.067,0.002,0.537,x,0.0,0.0,9.80665,0.402,0.263,0.483,4.3,0.1,6.3,0.6,2.2,0.0,797,0.1807633300000001,1,0,0
0.036,0.004,0.004,0.745,x,0.0,0.0,9.80665,0.623,0.025,0.179,15.4,0.9,4.8,9.5,2.5,8.6,798,0.1812193000000002,1,0,0
0.015,0.009,0.004,0.082,x,0.0,0.0,9.80665,0.21523,0.0,0.42741,13.1,15.5,8.6,5.5,9.3,2.8,835,0.38416985000000015,53,0,0
0.028,0.011,0.006,0.253,+,0.0,0.0,9.80665,0.028,0.06,0.477,8.0,16.0,14.2,6.0,6.7,7.4,854,0.20952657000000008,1,0,0
0.031,0.06,0.003,0.484,x,0.0,0.0,9.80665,0.21523,0.0,0.42741,9.1,6.4,3.4,2.2,7.3,3.8,801,0.18288395000000013,1,0,0
0.064,0.02,0.0,0.893,x,0.0,0.0,9.80665,0.045,0.474,0.472,1.5,5.8,19.7,2.1,4.6,3.5,824,0.18735100000000005,1,0,0
0.026,0.044,0.005,0.804,+,0.0,0.0,9.80665,0.37,0.432,0.16,15.8,17.0,17.5,8.7,5.8,9.0,821,0.4118610300000001,62,0,0
0.048,0.09,0.009,0.224,x,0.0,0.0,9.80665,0.365,0.056,0.348,1.3,19.6,13.4,7.4,8.3,6.6,799,0.37845470000000014,53,0,0
0.051,0.013,0.009,0.835,+,0.0,0.0,9.80665,0.208,0.431,0.543,15.2,10.6,1.4,1.5,6.6,6.4,821,0.2488838000000001,11,0,0
0.035,0.032,0.004,0.824,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,1.5,12.9,18.4,9.9,6.6,7.8,839,0.18673720000000016,1,0,0
0.028,0.058,0.006,0.489,x,0.0,0.0,9.80665,0.21523,0.0,0.42741,4.0,0.1,19.9,8.9,0.5,1.5,791,0.17973420000000007,1,0,0
0.053,0.053,0.005,0.372,+,0.0,0.0,9.80665,0.327,0.324,0.533,14.0,8.2,8.6,1.7,8.9,6.0,827,0.18666830000000012,1,0,0
0.099,0.071,0.009,0.807,+,0.0,0.0,9.80665,0.381,0.28,0.121,16.2,7.0,7.5,9.3,8.1,1.8,814,0.18691924000000015,1,0,0
0.025,0.02,0.005,0.356,x,0.0,0.0,9.80665,0.463,0.255,0.405,13.8,1.3,5.5,2.8,1.6,0.8,825,0.18694490000000008,1,0,0
0.042,0.055,0.005,0.854,+,0.0,0.0,9.80665,0.548,0.575,0.006,2.7,2.1,14.4,4.8,8.8,7.4,832,0.18938450000000007,1,0,0
0.048,0.068,0.001,0.066,x,0.0,0.0,9.80665,0.285,0.161,0.028,4.1,12.8,18.4,4.4,4.2,6.9,827,0.18792190000000009,1,0,0
