Sensor Noise Accelerometer,Sensor Noise Gyroscope,Sensor Noise Magnetometer,Sensor Noise Pressure,Rotor Orientation,Gravity_x,Gravity_y,Gravity_z,Magnetic Field_x,Magnetic Field_y,Magnetic Field_z,Wind_x,Wind_y,Wind_z,Wind Deviation_x,Wind Deviation_y,Wind Deviation_z,Number of Iterations,Battery Consumption,Number of Ground Contacts,Number of Engine Failures,Number of Mission Failures
0.16,0.001,0.0512,0.01,x,0.0,0.0,9.80665,0.0,0.65,0.2,0.0,1.0,20.0,0.0,1.0,1.0,818,0.1877441700000001,1,0,0
0.16,0.128,0.0128,0.01,x,0.0,0.0,9.80665,0.21523,0.65,0.2,20.0,20.0,10.0,1.0,1.0,10.0,793,0.4122135,62,0,0
0.64,0.128,0.0128,0.64,x,0.0,0.0,9.80665,0.65,0.0,0.2,0.0,10.0,1.0,10.0,10.0,1.0,769,0.1758293000000002,1,0,0
0.16,0.128,0.0512,0.16,x,0.0,0.0,9.80665,0.0,0.0,0.42741,20.0,10.0,0.0,0.0,1.0,1.0,796,0.39608726000000016,58,0,0
0.16,0.016,0.0512,0.01,x,0.0,0.0,9.80665,0.4,0.2,0.65,0.0,20.0,10.0,10.0,1.0,0.0,823,0.2309829000000001,7,0,0
1.28,0.128,0.0001,0.16,+,0.0,0.0,9.80665,0.4,0.65,0.42741,10.0,20.0,1.0,10.0,0.0,1.0,784,0.39138135000000007,58,0,0
1.28,0.001,0.0016,0.64,+,0.0,0.0,9.80665,0.4,0.2,0.65,0.0,0.0,0.0,1.0,10.0,0.0,810,0.18849847000000008,2,0,0
0.16,0.128,0.0001,1.28,+,0.0,0.0,9.80665,0.21523,0.65,0.65,1.0,0.0,1.0,0.0,10.0,0.0,802,0.18382284000000015,1,0,0
0.01,0.128,0.0016,1.28,x,0.0,0.0,9.80665,0.4,0.65,0.42741,0.0,10.0,10.0,0.0,10.0,0.0,828,0.19217620000000024,1,0,0
0.16,0.001,0.0016,0.01,x,0.0,0.0,9.80665,0.65,0.2,0.42741,0.0,1.0,0.0,10.0,0.0,10.0,815,0.1877390000000001,1,0,0
0.16,0.128,0.0016,1.28,+,0.0,0.0,9.80665,0.65,0.0,0.42741,1.0,20.0,20.0,1.0,1.0,0.0,278,0.28333050000000004,60,0,0
1.28,0.001,0.0512,0.01,x,0.0,0.0,9.80665,0.65,0.0,0.0,20.0,0.0,20.0,1.0,1.0,1.0,797,0.3835790000000001,56,0,0
0.64,0.016,0.0016,0.16,x,0.0,0.0,9.80665,0.21523,0.65,0.65,1.0,20.0,10.0,1.0,1.0,10.0,818,0.38337830000000017,53,0,0
0.16,0.001,0.1024,0.01,x,0.0,0.0,9.80665,0.21523,0.2,0.65,10.0,10.0,10.0,10.0,0.0,0.0,824,0.18707750000000012,1,0,0
0.01,0.016,0.0128,0.16,+,0.0,0.0,9.80665,0.65,0.0,0.0,20.0,0.0,20.0,10.0,1.0,10.0,62,0.2515354500000001,61,0,0
0.16,0.128,0.0128,0.16,x,0.0,0.0,9.80665,0.0,0.2,0.65,20.0,0.0,1.0,10.0,0.0,1.0,779,0.37299490000000013,53,0,0
1.28,0.128,0.0128,0.16,x,0.0,0.0,9.80665,0.21523,0.2,0.65,1.0,0.0,1.0,10.0,1.0,0.0,800,0.18227230000000016,1,0,0
0.01,0.001,0.0512,0.01,+,0.0,0.0,9.80665,0.4,0.65,0.2,0.0,0.0,10.0,1.0,10.0,10.0,810,0.1867008000000001,1,0,0
0.16,0.128,0.0016,0.01,x,0.0,0.0,9.80665,0.4,0.2,0.2,10.0,0.0,10.0,1.0,1.0,1.0,797,0.1837825500000001,1,0,0
0.01,0.001,0.0512,0.16,x,0.0,0.0,9.80665,0.4,0.65,0.2,20.0,1.0,0.0,0.0,10.0,0.0,796,0.37677890000000014,52,0,0
0.64,0.001,0.0128,0.16,+,0.0,0.0,9.80665,0.0,0.2,0.65,0.0,0.0,0.0,0.0,10.0,0.0,854,0.1940215500000001,1,0,0
0.01,0.128,0.1024,0.01,x,0.0,0.0,9.80665,0.65,0.0,0.2,10.0,20.0,10.0,1.0,1.0,10.0,826,0.3974263400000001,58,0,0
1.28,0.128,0.0016,0.01,+,0.0,0.0,9.80665,0.0,0.65,0.65,1.0,10.0,20.0,1.0,10.0,0.0,811,0.18615934000000012,1,0,0
0.64,0.001,0.0128,0.01,x,0.0,0.0,9.80665,0.65,0.2,0.65,1.0,0.0,1.0,10.0,1.0,0.0,802,0.1881837500000001,1,0,0
0.01,0.001,0.0001,1.28,x,0.0,0.0,9.80665,0.0,0.65,0.2,10.0,20.0,20.0,1.0,1.0,0.0,623,0.35915150000000007,59,0,0
0.16,0.128,0.0016,0.01,x,0.0,0.0,9.80665,0.4,0.0,0.42741,1.0,0.0,10.0,10.0,10.0,10.0,790,0.17984170000000022,1,0,0
0.01,0.016,0.0001,1.28,x,0.0,0.0,9.80665,0.65,0.2,0.42741,0.0,10.0,1.0,1.0,1.0,0.0,813,0.9443098000000001,211,0,0
1.28,0.128,0.0001,0.01,x,0.0,0.0,9.80665,0.21523,0.0,0.65,20.0,1.0,0.0,10.0,10.0,1.0,785,0.39356440000000015,58,0,0
0.64,0.128,0.0016,0.64,+,0.0,0.0,9.80665,0.65,0.0,0.2,10.0,20.0,0.0,0.0,0.0,10.0,819,0.3985755000000002,58,0,0
0.01,0.001,0.0128,0.64,+,0.0,0.0,9.80665,0.65,0.0,0.0,20.0,0.0,10.0,1.0,0.0,1.0,796,0.10120437000000015,3,0,0
0.64,0.016,0.0016,0.01,x,0.0,0.0,9.80665,0.0,0.65,0.2,10.0,10.0,0.0,0.0,1.0,0.0,820,0.0,0,0,0
1.28,0.016,0.0512,0.64,x,0.0,0.0,9.80665,0.4,0.0,0.65,0.0,10.0,20.0,10.0,10.0,10.0,810,0.18647537000000014,2,0,0
1.28,0.128,0.0016,0.16,x,0.0,0.0,9.80665,0.4,0.2,0.0,20.0,20.0,10.0,10.0,0.0,10.0,748,0.0,0,0,0
1.28,0.128,0.0016,1.28,x,0.0,0.0,9.80665,0.0,0.0,0.42741,0.0,1.0,1.0,0.0,0.0,10.0,793,0.1827924500000001,2,0,0
0.16,0.016,0.0128,0.01,x,0.0,0.0,9.80665,0.65,0.2,0.2,0.0,20.0,10.0,10.0,1.0,0.0,856,0.0,0,0,0
1.28,0.016,0.0512,0.64,+,0.0,0.0,9.80665,0.4,0.2,0.65,20.0,10.0,0.0,1.0,10.0,0.0,813,0.3951007000000002,57,0,0
0.64,0.001,0.1024,0.16,+,0.0,0.0,9.80665,0.65,0.2,0.65,0.0,10.0,10.0,0.0,1.0,0.0,839,0.19200537000000018,2,0,0
