Sensor Noise Accelerometer,Sensor Noise Gyroscope,Sensor Noise Magnetometer,Sensor Noise Pressure,Rotor Orientation,Gravity_x,Gravity_y,Gravity_z,Magnetic Field_x,Magnetic Field_y,Magnetic Field_z,Wind_x,Wind_y,Wind_z,Wind Deviation_x,Wind Deviation_y,Wind Deviation_z,Error Type
0.223,0.557,0.028,0.081,+,0.0,0.0,9.80665,0.126,0.498,0.3,5.6,9.6,4.5,4.7,0.1,4.5,Arming
0.711,0.774,0.082,0.488,+,0.0,0.0,9.80665,0.516,0.335,0.128,18.2,6.7,2.6,7.5,7.9,3.8,Arming
0.147,0.295,0.006,0.414,+,0.0,0.0,9.80665,0.305,0.513,0.005,3.3,5.8,5.2,3.4,5.9,0.1,Arming hangs
0.355,0.732,0.034,0.52,+,0.0,0.0,9.80665,0.021,0.232,0.303,11.8,3.1,8.4,4.6,6.4,9.6,Arming
0.299,0.545,0.068,0.548,+,0.0,0.0,9.80665,0.463,0.094,0.084,6.3,18.1,13.1,0.5,4.0,3.8,Arming hangs
0.96,0.735,0.09,0.497,x,0.0,0.0,9.80665,0.194,0.405,0.355,17.2,13.0,0.4,8.8,7.0,5.7,Arming
0.981,0.731,0.01,0.427,+,0.0,0.0,9.80665,0.59,0.219,0.292,18.8,17.6,9.2,9.7,6.8,1.1,Arming
0.966,0.599,0.076,0.172,+,0.0,0.0,9.80665,0.124,0.6,0.508,10.1,13.0,12.4,7.4,4.5,9.2,Arming
0.464,0.741,0.006,0.522,x,0.0,0.0,9.80665,0.326,0.563,0.597,13.9,14.1,17.4,6.1,8.2,9.2,Arming
0.715,0.014,0.052,0.726,x,0.0,0.0,9.80665,0.584,0.519,0.011,3.3,9.3,0.7,3.5,2.6,9.5,Arming
0.753,0.529,0.016,0.458,+,0.0,0.0,9.80665,0.075,0.22,0.33,13.2,1.8,1.1,4.7,5.4,2.2,Gyro fail
0.344,0.442,0.041,0.374,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,12.8,19.9,12.9,3.4,9.5,8.5,Arming
0.346,0.71,0.061,0.867,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,1.9,1.1,17.4,6.2,4.5,8.3,Landing
0.394,0.02,0.031,0.311,x,0.0,0.0,9.80665,0.199,0.57,0.31,15.2,3.9,17.7,5.6,6.8,7.8,Landing
0.355,0.579,0.046,0.33,+,0.0,0.0,9.80665,0.577,0.46,0.195,15.2,13.9,16.2,5.7,1.3,8.6,Arming
0.408,0.304,0.08,0.983,+,0.0,0.0,9.80665,0.528,0.403,0.598,19.6,17.4,10.2,7.3,4.7,0.5,Gyro fail
0.726,0.517,0.071,0.535,x,0.0,0.0,9.80665,0.25,0.07,0.494,7.7,9.5,0.9,3.0,7.5,5.2,Arming
0.718,0.227,0.012,0.192,+,0.0,0.0,9.80665,0.392,0.486,0.241,5.9,4.3,18.1,7.9,8.6,6.9,Gyro fail
0.772,0.287,0.019,0.291,x,0.0,0.0,9.80665,0.21523,0.0,0.42741,1.2,17.6,1.3,9.5,3.1,0.3,Arming hangs
0.414,0.624,0.018,0.878,+,0.0,0.0,9.80665,0.026,0.309,0.509,7.1,9.9,10.0,3.0,1.9,6.3,Arming
0.622,0.137,0.048,0.503,x,0.0,0.0,9.80665,0.421,0.42,0.289,4.6,11.4,3.1,6.3,4.5,9.1,Arming
0.15,0.131,0.028,0.688,+,0.0,0.0,9.80665,0.013,0.351,0.504,11.0,17.5,9.6,5.6,6.9,0.6,Arming
0.541,0.609,0.097,0.294,x,0.0,0.0,9.80665,0.204,0.059,0.524,10.9,2.9,9.0,7.7,2.9,1.7,Arming hangs
0.524,0.399,0.066,0.945,+,0.0,0.0,9.80665,0.287,0.22,0.251,17.9,16.8,0.7,7.1,9.7,6.6,Arming
0.819,0.053,0.064,0.558,+,0.0,0.0,9.80665,0.224,0.395,0.583,16.1,7.5,19.9,5.2,4.5,0.5,Arming
0.441,0.529,0.005,0.743,x,0.0,0.0,9.80665,0.346,0.265,0.223,8.5,10.5,18.4,4.1,4.3,3.3,Arming
0.439,0.544,0.043,0.251,+,0.0,0.0,9.80665,0.385,0.349,0.371,16.3,13.0,7.8,9.1,0.8,2.9,Arming
0.202,0.662,0.003,0.55,x,0.0,0.0,9.80665,0.564,0.029,0.253,11.1,12.2,6.7,2.1,9.5,1.2,Landing
0.027,0.48,0.039,0.954,+,0.0,0.0,9.80665,0.179,0.646,0.032,6.4,1.4,16.4,9.8,4.7,6.8,Arming
0.715,0.512,0.098,0.446,x,0.0,0.0,9.80665,0.071,0.573,0.353,1.8,4.3,10.9,2.0,2.0,9.0,Arming hangs
0.027,0.291,0.034,0.412,+,0.0,0.0,9.80665,0.428,0.066,0.276,9.7,0.4,0.2,6.7,3.2,5.3,Arming
0.685,0.719,0.065,0.542,+,0.0,0.0,9.80665,0.496,0.633,0.328,14.3,11.7,10.4,9.7,3.2,3.3,Arming
0.502,0.363,0.06,0.823,x,0.0,0.0,9.80665,0.163,0.004,0.421,16.5,6.3,0.6,4.9,8.0,5.4,Arming hangs
0.451,0.654,0.061,0.506,+,0.0,0.0,9.80665,0.581,0.453,0.055,17.4,1.1,10.6,5.9,3.1,6.1,Arming
0.987,0.06,0.095,0.784,x,0.0,0.0,9.80665,0.442,0.503,0.363,10.9,10.6,4.6,2.8,3.6,5.3,Arming hangs
0.176,0.01,0.015,0.733,+,0.0,0.0,9.80665,0.419,0.629,0.614,0.4,16.5,16.9,5.7,3.3,1.1,Arming
0.598,0.181,0.084,0.059,x,0.0,0.0,9.80665,0.146,0.163,0.625,7.5,5.7,2.1,6.1,3.1,2.7,Dangerous battery level
0.758,0.537,0.044,0.908,x,0.0,0.0,9.80665,0.441,0.139,0.092,9.9,7.0,7.6,1.2,6.8,3.7,Arming hangs
0.08,0.198,0.018,0.95,x,0.0,0.0,9.80665,0.585,0.03,0.551,13.9,13.9,2.5,4.7,7.4,5.0,Arming
0.801,0.11,0.099,0.963,x,0.0,0.0,9.80665,0.56,0.079,0.453,14.6,4.7,3.8,5.3,0.8,7.6,Arming
0.218,0.632,0.077,0.35,+,0.0,0.0,9.80665,0.215,0.307,0.253,7.6,7.4,16.9,0.9,5.7,5.7,Gyro fail
0.255,0.281,0.081,0.029,x,0.0,0.0,9.80665,0.204,0.486,0.38,15.3,9.3,17.6,0.1,0.4,6.1,Arming
0.458,0.402,0.099,0.853,+,0.0,0.0,9.80665,0.032,0.236,0.029,10.2,15.2,6.6,5.8,7.9,1.8,Arming
0.584,0.417,0.052,0.296,+,0.0,0.0,9.80665,0.522,0.326,0.217,7.1,15.3,18.9,5.3,4.7,3.7,Arming
0.868,0.329,0.025,0.619,+,0.0,0.0,9.80665,0.647,0.264,0.122,13.6,6.5,18.0,0.9,0.4,4.1,Arming
0.889,0.545,0.077,0.869,+,0.0,0.0,9.80665,0.552,0.393,0.072,3.8,5.4,4.2,8.9,9.8,3.3,Arming hangs
0.962,0.727,0.083,0.369,x,0.0,0.0,9.80665,0.636,0.335,0.241,9.5,6.4,2.1,2.3,4.1,7.0,Arming
0.959,0.681,0.056,0.832,x,0.0,0.0,9.80665,0.533,0.603,0.202,6.8,10.0,5.3,4.1,8.0,6.8,Arming
0.03,0.692,0.083,0.82,x,0.0,0.0,9.80665,0.207,0.065,0.149,10.2,19.9,15.3,3.4,0.4,5.9,Arming
0.587,0.381,0.089,0.063,+,0.0,0.0,9.80665,0.153,0.587,0.354,11.8,5.8,19.6,5.3,5.5,2.6,Arming
0.689,0.289,0.063,0.481,x,0.0,0.0,9.80665,0.217,0.381,0.228,17.2,2.8,19.5,8.6,4.0,4.8,Gyro fail
0.102,0.089,0.018,0.529,+,0.0,0.0,9.80665,0.145,0.614,0.257,7.8,5.2,17.4,9.1,2.6,1.6,Landing
0.4,0.1,0.047,0.081,+,0.0,0.0,9.80665,0.6,0.089,0.044,9.7,2.3,13.5,7.4,3.0,1.0,Gyro fail
0.654,0.705,0.03,0.359,x,0.0,0.0,9.80665,0.21523,0.0,0.42741,7.7,2.6,7.0,4.1,7.7,8.3,Landing
0.172,0.072,0.061,0.972,x,0.0,0.0,9.80665,0.405,0.032,0.421,12.6,3.2,15.5,4.6,8.0,8.8,Arming
0.762,0.076,0.031,0.328,+,0.0,0.0,9.80665,0.119,0.177,0.351,13.9,13.6,19.4,4.9,5.2,6.8,Arming
0.592,0.582,0.022,0.094,+,0.0,0.0,9.80665,0.642,0.541,0.061,16.4,7.1,7.3,2.5,4.3,5.5,Arming
0.394,0.125,0.043,0.494,+,0.0,0.0,9.80665,0.324,0.563,0.063,10.4,7.6,3.9,0.3,6.5,0.9,Arming
0.145,0.41,0.003,0.065,+,0.0,0.0,9.80665,0.643,0.492,0.42,9.1,3.9,11.7,5.1,4.5,6.3,Gyro fail
